"","subjectid","activity","measure","measuremean"
"1",1,"laying","bodyaccxmean",-0.014794166294
"2",1,"sitting","bodyaccxmean",-0.00594437001978723
"3",1,"standing","bodyaccxmean",0.000779561808867925
"4",1,"walking","bodyaccxmean",-0.00246461543157895
"5",1,"walking_downstairs","bodyaccxmean",-0.0179729
"6",1,"walking_upstairs","bodyaccxmean",0.0243625466981132
"7",2,"laying","bodyaccxmean",-0.00976731646666667
"8",2,"sitting","bodyaccxmean",0.00539671204954348
"9",2,"standing","bodyaccxmean",0.000898836777777778
"10",2,"walking","bodyaccxmean",0.0160380751864407
"11",2,"walking_downstairs","bodyaccxmean",-0.0395567138297872
"12",2,"walking_upstairs","bodyaccxmean",-0.003837691875
"13",3,"laying","bodyaccxmean",-0.00149184656790323
"14",3,"sitting","bodyaccxmean",0.000156060147230769
"15",3,"standing","bodyaccxmean",0.00176542531639344
"16",3,"walking","bodyaccxmean",0.0125380416775862
"17",3,"walking_downstairs","bodyaccxmean",-0.029978364877551
"18",3,"walking_upstairs","bodyaccxmean",0.0294060837016949
"19",4,"laying","bodyaccxmean",-0.0277182417301852
"20",4,"sitting","bodyaccxmean",-0.0030000008622
"21",4,"standing","bodyaccxmean",0.00623440632982143
"22",4,"walking","bodyaccxmean",-0.0112881461
"23",4,"walking_downstairs","bodyaccxmean",-0.0238357594444444
"24",4,"walking_upstairs","bodyaccxmean",0.01380648725
"25",5,"laying","bodyaccxmean",-0.0145492712757692
"26",5,"sitting","bodyaccxmean",-0.000280765625
"27",5,"standing","bodyaccxmean",0.00266409155178571
"28",5,"walking","bodyaccxmean",-0.005337818375
"29",5,"walking_downstairs","bodyaccxmean",-0.0606224985106383
"30",5,"walking_upstairs","bodyaccxmean",0.037940964893617
"31",6,"laying","bodyaccxmean",-0.0354197004192982
"32",6,"sitting","bodyaccxmean",0.00135400343381818
"33",6,"standing","bodyaccxmean",0.0026931458377193
"34",6,"walking","bodyaccxmean",0.00748218254035088
"35",6,"walking_downstairs","bodyaccxmean",-0.0526145689583333
"36",6,"walking_upstairs","bodyaccxmean",0.0142668428823529
"37",7,"laying","bodyaccxmean",-0.0326868808653846
"38",7,"sitting","bodyaccxmean",0.01345903379375
"39",7,"standing","bodyaccxmean",0.00280590717924528
"40",7,"walking","bodyaccxmean",-0.0121078113350877
"41",7,"walking_downstairs","bodyaccxmean",-0.016715204893617
"42",7,"walking_upstairs","bodyaccxmean",0.00539100205882353
"43",8,"laying","bodyaccxmean",-0.0176286269433333
"44",8,"sitting","bodyaccxmean",-0.00479165906804348
"45",8,"standing","bodyaccxmean",0.00115461487601852
"46",8,"walking","bodyaccxmean",0.006359583125
"47",8,"walking_downstairs","bodyaccxmean",-0.117157756421053
"48",8,"walking_upstairs","bodyaccxmean",-0.0425730515121951
"49",9,"laying","bodyaccxmean",-0.022063014334
"50",9,"sitting","bodyaccxmean",-0.007560123968
"51",9,"standing","bodyaccxmean",-1.42152333333334e-05
"52",9,"walking","bodyaccxmean",-0.0117498622673077
"53",9,"walking_downstairs","bodyaccxmean",-0.0875073923809524
"54",9,"walking_upstairs","bodyaccxmean",-0.0120651153469388
"55",10,"laying","bodyaccxmean",0.00161529254539655
"56",10,"sitting","bodyaccxmean",-0.00188687891592593
"57",10,"standing","bodyaccxmean",-0.00974378021510227
